MUESTRA,TIPORESINA,ACTIVSÓNICA,Mtotal,Mdesadap,MPtotal,MPdesadap,Ptotal,Pdesadap,APtotal,Apdesadap,Atotal,Adesadap,AGtotal,Agdesadap,Gtotal,Pdesadap,peritotal,peridesap,porcdesap
1,1,1,"738,28",0,"1111,81","63,72","778,65",0,"247,7","72,6","1546,42","30,69","1067,93",0,"689,23",0,"6180,02","167,01","2,7024184388"
2,1,2,"1667,2",0,"2108,49",0,"1152,86",0,"345,46",0,"949,01",0,"828,61",0,"731,4",0,"7783,03",0,0
3,2,1,"1018,04",0,"572,78",0,"945,77","47,13","382,19",0,"1620,19",0,"874,84","50,86","1058,33",0,"6472,14","97,99","1,5140278177"
4,2,2,"1261,38",0,"777,26","458,93","791,46",0,"571,57",0,"1295,26",0,"841,39","634,44","846,38","51,66","6384,7","1145,03","17,9339671402"
5,1,1,"1061,78",0,"657,72","306,27","1665,72",0,"388,43",0,"1634,91",0,"809,66",0,"365,19",0,"6583,41","306,27","4,6521483547"
6,1,2,"1478,51",0,"827,69","805,56",825,0,"182,11",0,"1801,47","178,16","765,92","279,55","960,47",0,"6841,17","1263,27","18,4657010424"
7,2,1,"1544,07",0,"611,9",0,"383,08",0,"448,05",0,"1997,39",0,"452,99",0,"976,39","60,74","6413,87","60,74","0,9470101514"
8,2,2,"1292,16",0,"602,38",0,"607,68","54,52","321,16",0,"1601,91","100,5","563,71",0,"911,57",0,"5900,57","155,02","2,6272038125"
9,1,1,"1160,41","11,05","604,28","561,44","1282,15","23,6","734,02","300,82","1046,18",0,"712,49",0,"480,41",0,"6019,94","896,91","14,8989857042"
10,1,2,"1480,85",0,"946,43","140,75","1177,34",0,"591,19",0,"1042,85","148,63",897,897,"477,48","226,7","6613,14","1413,08","21,3677617592"
11,2,1,"905,14",0,"854,17",0,"1313,95",0,"851,39",0,"954,13",0,"835,65",0,"1001,46",0,"6715,89",0,0
12,2,2,"1550,93","56,89","1086,04",0,"866,9",0,"657,57",0,"970,29","41,15","760,48","194,18","1178,9","385,89","7071,11","678,11","9,5898663718"
13,1,1,"1093,77",0,"916,04",0,"568,23",0,"731,92",0,"1112,06",0,"807,39",0,"885,35",41,"6114,76",41,"0,6705087362"
14,1,2,"1049,12",0,"917,91",0,"1013,66","96,16","472,25",0,"1767,68",0,"952,38","363,09","1121,34",0,"7294,34","459,25","6,2959774291"
15,2,1,"614,28",0,"631,26",0,"773,78",0,"506,2",0,"1401,87",0,"1118,58",0,"502,9",0,"5548,87",0,0
16,2,2,"1365,52","93,94","734,78","67,9","627,77","98,43","329,62",0,"1344,94",0,"717,4","256,28","957,81",0,"6077,84","516,55","8,4989075066"
17,1,1,"1387,78",0,"707,23","28,82","1381,41",0,"449,17","19,02","1410,32","33,82","527,51",0,"780,88","29,39","6644,3","111,05","1,6713574041"
18,1,2,"1366,11",0,"725,92",0,"1073,68","29,98","585,44",0,"1494,52","109,79","592,67",0,"589,73",0,"6428,07","139,77","2,1743696008"
19,2,1,"1301,94",0,"1002,91",0,"1158,02",0,"608,63",0,"926,78",0,"1142,47",0,"742,23",0,"6882,98",0,0
20,2,2,"1658,67","37,48","985,64",0,"999,21","96,77","401,96",0,"1244,95",0,"858,58",0,"877,68",0,"7026,69","134,25","1,9105724032"
21,1,1,"1081,61",0,1011,0,"1225,98",0,"745,33",0,"1094,86",0,"762,16","58,35","1386,52",0,"7307,46","58,35","0,7984990681"
22,1,2,"1487,84","50,47","756,71","62,72","1163,66",0,"958,55",0,"871,17",0,"893,27",0,"1185,66","32,22","7316,86","145,41","1,9873278975"
23,2,1,"756,17",0,"426,45",0,"886,62",0,"626,2",0,"1611,71",0,"1146,51","856,07","1147,14",0,"6600,8","856,07","12,9691855533"
24,2,2,"988,63","35,05","689,87","44,36","1098,65",0,"285,81",0,"1572,21","198,15","660,38","16,08","660,39","47,16","5955,94","340,8","5,7220186906"
25,1,1,"964,34",0,"1102,68",0,"1340,13","237,24","406,44",0,"444,02",0,"803,17",0,"1286,28","33,95","6347,06","271,19","4,2726868818"
26,1,2,"1810,79","21,95","1035,04",0,"791,96",0,"831,28",0,"920,19",0,"941,55",0,"805,17",0,"7135,98","21,95","0,3075961536"
27,2,1,"1099,1",0,"1035,76","106,69","954,82",0,"703,09","76,08","781,64",0,"1411,49","104,61","1197,15","27,64","7183,05","315,02","4,3856022163"
28,2,2,"1050,73",0,"732,59",0,"938,79",0,"352,34",0,"1021,03",0,"1050,77","177,64","1521,93","98,52","6668,18","276,16","4,1414598886"
29,1,1,"1024,17",0,"571,37",0,"874,39",0,"586,3",0,"817,51","98,84","803,8","32,81","1242,27","45,31","5919,81","176,96","2,9892851291"
30,1,2,"1010,14",0,"1062,72","578,66","805,68",0,"551,51","23,69","893,27",0,"789,03",0,"1270,18",0,"6382,53","602,35","9,4374801215"
